index,book_name,author,author_rating,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,sales_rank,publisher,units_sold,author_rating_score,author_popularity_score,profit_margin,revenue_per_unit,rating_weighted
219,Obsidian,Jennifer L. Armentrout,Intermediate,4.23,164832,fiction,5191.67,3115.002,11.99,240,Penguin Group (USA) LLC,433,2,3.955817665185175,2076.668,7.194,697239.3600000001
220,"Life, the Universe and Everything",Douglas Adams,Intermediate,4.19,131562,fiction,2593.67,1556.202,5.99,240,Hachette Book Group,433,2,3.904653507215189,1037.468,3.594,551244.78
221,Crown of Midnight,Sarah J. Maas,Famous,4.49,160485,fiction,426.69,256.014,0.99,241,"Amazon Digital Services,  Inc.",431,3,4.329174861081556,170.676,0.594,720577.65
222,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",Bryan Lee O'Malley,Intermediate,4.18,126864,fiction,425.7,255.42,0.99,242,Random House LLC,430,2,3.8953367295205195,170.28,0.594,530291.52
223,Half Broke Horses: A True Life Novel,Jeannette Walls,Intermediate,4.05,110597,fiction,5107.74,3064.644,11.99,244,Penguin Group (USA) LLC,426,2,3.8324989093884945,2043.096,7.193999999999999,447917.85
224,Mort,Terry Pratchett,Intermediate,4.22,128450,fiction,3821.22,2292.732,8.97,244,"Amazon Digital Services,  Inc.",426,2,3.909494995851351,1528.4879999999998,5.382,542059.0
225,"The Iron King (The Iron Fey, #1) ",Julie Kagawa,Intermediate,3.92,158063,fiction,420.75,252.45,0.99,245,Macmillan,425,2,3.855533187234998,168.3,0.594,619606.96
226,Lonesome Dove,Larry McMurtry,Famous,4.47,111498,fiction,1687.77,0.0,3.99,246,"Amazon Digital Services,  Inc.",423,3,4.259908388939575,1687.77,0.0,498396.06
227,Stiff: The Curious Lives of Human Cadavers,Mary Roach,Intermediate,4.05,122502,nonfiction,4473.0,2683.8,10.65,248,Random House LLC,420,2,3.8502586897414197,1789.1999999999998,6.390000000000001,496133.1
228,Bloodlines,Richelle Mead,Intermediate,4.22,140599,fiction,413.82,248.292,0.99,249,Macmillan,418,2,3.925194128273522,165.528,0.594,593327.7799999999
229,Ender's Shadow,Orson Scott Card,Intermediate,4.3,115521,nonfiction,411.84,0.0,0.99,250,"Amazon Digital Services,  Inc.",416,2,3.9150658796437052,411.84,0.0,496740.3
230,Twenties Girl,Sophie Kinsella,Intermediate,3.82,119105,fiction,2070.85,1242.51,4.99,251,Random House LLC,415,2,3.776373455898761,828.3399999999999,2.9939999999999998,454981.1
231,Schindler's Ark,Thomas Keneally,Intermediate,4.34,108338,fiction,2537.9,1522.74,6.19,254,"Amazon Digital Services,  Inc.",410,2,3.915913929042891,1015.1600000000001,3.714,470186.92
232,The Bluest Eye,Toni Morrison,Intermediate,3.99,109944,fiction,1219.92,0.0,2.99,255,"Amazon Digital Services,  Inc.",408,2,3.8134701934449446,1219.92,0.0,438676.56
233,The White Queen,Philippa Gregory,Intermediate,3.9,119739,fiction,1685.04,1011.024,4.13,255,"Amazon Digital Services,  Inc.",408,2,3.801295701523866,674.016,2.478,466982.1
234,The Autobiography of Malcolm X,"Malcolm X, Alex Haley",Intermediate,4.29,124805,nonfiction,2025.94,1215.564,4.99,256,Random House LLC,406,2,3.9254941857547636,810.376,2.994,535413.45
235,Preludes & Nocturnes,"Neil Gaiman, Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger",Intermediate,4.3,122540,nonfiction,2251.8,1351.08,5.56,257,"Amazon Digital Services,  Inc.",405,2,3.9253125680341165,900.7200000000003,3.336,526922.0
