index,book_name,author,author_rating,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,sales_rank,publisher,units_sold
144,Firestarter,Stephen King,Intermediate,3.85,142213,fiction,2952.6,1771.56,3.99,152,Macmillan,740
145,Entwined with You,Sylvia Day,Intermediate,4.19,141641,fiction,727.65,0.0,0.99,153,"Amazon Digital Services,  Inc.",735
146,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,Intermediate,4.27,109642,fiction,3642.7,0.0,4.99,154,"Amazon Digital Services,  Inc.",730
147,The Storied Life of A.J. Fikry,Gabrielle Zevin,Intermediate,3.98,115393,fiction,5444.75,3266.85,7.51,155,Random House LLC,725
148,Mad About Madeline,Ludwig Bemelmans,Intermediate,4.22,156726,fiction,712.8,0.0,0.99,156,"Amazon Digital Services,  Inc.",720
149,Think and Grow Rich,Napoleon Hill,Intermediate,4.17,87445,fiction,702.9,0.0,0.99,158,"Amazon Digital Services,  Inc.",710
150,Little House In The Big Woods,"Laura Ingalls Wilder, Garth Williams",Intermediate,4.16,165127,fiction,697.95,418.77,0.99,159,"Amazon Digital Services,  Inc.",705
151,Jonathan Strange & Mr Norrell,Susanna Clarke,Intermediate,3.8,133683,fiction,5593.0,3355.8,7.99,160,Hachette Book Group,700
152,A Bend in the Road,Nicholas Sparks,Intermediate,4.02,116800,fiction,1353.2,811.92,1.99,164,HarperCollins Publishers,680
153,The House of Hades,Rick Riordan,Famous,4.54,159774,nonfiction,668.25,400.95,0.99,165,"Amazon Digital Services,  Inc.",675
154,Gone,Michael  Grant,Intermediate,3.85,144606,fiction,3678.3,2206.98,5.49,166,"Amazon Digital Services,  Inc.",670
155,The Wedding,Nicholas Sparks,Intermediate,3.98,118045,fiction,658.35,395.01,0.99,167,"Amazon Digital Services,  Inc.",665
156,1776,David McCullough,Intermediate,4.06,130293,fiction,7814.4,4688.64,11.84,168,Random House LLC,660
157,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,Intermediate,3.98,112167,fiction,648.45,0.0,0.99,169,"Amazon Digital Services,  Inc.",655
158,Beautiful Ruins,Jess Walter,Intermediate,3.67,116053,fiction,9818.45,5891.07,14.99,169,Random House LLC,655
159,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,Intermediate,3.69,110873,fiction,3243.5,0.0,4.99,170,"Amazon Digital Services,  Inc.",650
160,On Writing: A Memoir of the Craft,Stephen King,Intermediate,4.31,131481,fiction,1943.5,0.0,2.99,170,"Amazon Digital Services,  Inc.",650
161,Firefly Lane,Kristin Hannah,Intermediate,4.04,121966,fiction,3218.55,0.0,4.99,171,"Amazon Digital Services,  Inc.",645
162,Sphere,Michael Crichton,Intermediate,3.77,128244,fiction,4473.6,2684.16,6.99,172,Random House LLC,640
