index,book_name,author,author_rating,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,sales_rank,publisher,units_sold
43,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,Intermediate,4.0,134177,fiction,11057.54,6634.524,5.99,45,HarperCollins Publishers,1846
44,Timeline,Michael Crichton,Intermediate,3.83,148563,fiction,12791.7,7675.02,6.99,46,"Amazon Digital Services,  Inc.",1830
45,Candide,Voltaire,Intermediate,3.76,151471,fiction,8982.0,0.0,4.99,48,"Amazon Digital Services,  Inc.",1800
46,Tuck Everlasting,Natalie Babbitt,Intermediate,3.85,174280,nonfiction,3582.0,2149.2,1.99,48,"Amazon Digital Services,  Inc.",1800
47,Christine,"Stephen King, Marie Milpois",Intermediate,3.72,151160,nonfiction,1766.16,1059.696,0.99,49,"Amazon Digital Services,  Inc.",1784
48,Are You My Mother?,P.D. Eastman,Intermediate,4.16,174204,fiction,10596.31,6357.786,5.99,50,Penguin Group (USA) LLC,1769
49,The Story of Art,E.H. Gombrich,Intermediate,3.83,164708,fiction,15058.27,9034.962,8.59,51,Hachette Book Group,1753
50,Scarlet,Marissa Meyer,Intermediate,4.3,193766,fiction,1720.62,1032.372,0.99,52,"Amazon Digital Services,  Inc.",1738
51,"Rich Dad , Poor Dad",Robert T. Kiyosaki,Intermediate,3.95,153764,fiction,1705.77,1023.462,0.99,53,Random House LLC,1723
52,Silence ,Becca Fitzpatrick,Intermediate,4.16,190722,fiction,8517.93,0.0,4.99,54,"Amazon Digital Services,  Inc.",1707
53,The Magicians,Lev Grossman,Novice,3.47,147908,fiction,1675.08,1005.048,0.99,55,Macmillan,1692
54,ãƒ‡ã‚¹ãƒŽãƒ¼ãƒˆ #1 (Desu NÅto) Taikutsu (é€€å±ˆ),"Tsugumi Ohba, Takeshi Obata",Famous,4.42,139501,fiction,6687.24,0.0,3.99,56,"Amazon Digital Services,  Inc.",1676
55,A Great and Terrible Beauty,Libba Bray,Intermediate,3.79,173613,fiction,4966.39,2979.834,2.99,57,Penguin Group (USA) LLC,1661
56,Everything Is Illuminated,Jonathan Safran Foer,Intermediate,3.9,131492,fiction,1629.54,977.724,0.99,58,"Amazon Digital Services,  Inc.",1646
57,The Bourne Supremacy,Robert Ludlum,Intermediate,4.09,142168,fiction,17783.3,10669.98,10.91,59,Penguin Group (USA) LLC,1630
58,Easy,Tammara Webber,Intermediate,4.11,133937,fiction,1613.7,0.0,0.99,59,"Amazon Digital Services,  Inc.",1630
59,David Copperfield,"Charles Dickens, Jeremy Tambling",Intermediate,3.96,150512,fiction,18394.85,11036.91,11.39,60,Hachette Book Group,1615
60,The Absolutely True Diary of a Part-Time Indian,"Sherman Alexie, Ellen Forney",Intermediate,4.11,160607,fiction,10384.0,6230.4,6.49,61,Random House LLC,1600
61,ÐœÐ°ÑÑ‚ÐµÑ€ Ð¸ ÐœÐ°Ñ€Ð³Ð°Ñ€Ð¸Ñ‚Ð°,"Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer",Intermediate,4.32,131389,fiction,6320.16,0.0,3.99,62,"Amazon Digital Services,  Inc.",1584
62,A Wizard of Earthsea,Ursula K. Le Guin,Intermediate,3.99,155042,fiction,4707.0,0.0,3.0,63,"Amazon Digital Services,  Inc.",1569
63,Because of Winn-Dixie,"Kate DiCamillo, Chris Sheban",Intermediate,4.0,154476,fiction,1522.62,0.0,0.99,65,"Amazon Digital Services,  Inc.",1538
64,A Separate Peace,John Knowles,Intermediate,3.56,155901,fiction,5924.47,0.0,3.89,66,"Amazon Digital Services,  Inc.",1523
65,The Rainmaker,John Grisham,Intermediate,3.91,137412,fiction,12040.93,0.0,7.99,67,"Amazon Digital Services,  Inc.",1507
66,Don Quijote de La Mancha,"Miguel de Cervantes Saavedra, Roberto GonzÃ¡lez EchevarrÃ­a, John Rutherford",Intermediate,3.85,134931,fiction,13413.08,8047.848,8.99,68,Hachette Book Group,1492
67,Assassin's Apprentice,Robin Hobb,Intermediate,4.14,132777,fiction,2907.39,0.0,1.99,70,"Amazon Digital Services,  Inc.",1461
68,The Restaurant at the End of the Universe,Douglas Adams,Intermediate,4.22,153838,fiction,11553.54,6932.124,7.99,71,Penguin Group (USA) LLC,1446
69,Torment,Lauren Kate,Intermediate,3.89,174393,fiction,5705.7,0.0,3.99,72,"Amazon Digital Services,  Inc.",1430
70,The Tale of Peter Rabbit,Beatrix Potter,Intermediate,4.17,162373,fiction,9890.85,5934.51,6.99,73,Penguin Group (USA) LLC,1415
71,The Silver Chair,"C.S. Lewis, Pauline Baynes",Intermediate,3.95,170453,fiction,5245.36,3147.216,3.79,75,Hachette Book Group,1384
72,The Hero of Ages,Brandon Sanderson,Famous,4.46,143622,nonfiction,5826.64,3495.984,4.21,75,"Amazon Digital Services,  Inc.",1384
73,"Girl, Interrupted",Susanna Kaysen,Intermediate,3.9,145161,fiction,2724.31,1634.586,1.99,76,Hachette Book Group,1369
75,Jonathan Livingston Seagull,"Richard Bach, Russell Munson",Intermediate,3.8,133728,fiction,6751.47,0.0,4.99,77,"Amazon Digital Services,  Inc.",1353
76,City of Heavenly Fire,Cassandra Clare,Famous,4.48,177796,fiction,6676.62,0.0,4.99,78,"Amazon Digital Services,  Inc.",1338
77,Love You Forever,"Robert Munsch, Sheila McGraw",Intermediate,4.34,159703,fiction,1309.77,785.862,0.99,79,"Amazon Digital Services,  Inc.",1323
78,Cell,Stephen King,Intermediate,3.64,144591,fiction,5933.78,3560.268,4.54,80,HarperCollins Publishers,1307
79,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,Intermediate,4.32,113565,fiction,8482.43,5089.458,6.49,80,Hachette Book Group,1307
80,The Silmarillion,"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith",Intermediate,3.87,134106,fiction,6447.08,3868.248,4.99,81,Random House LLC,1292
81,The Drawing of the Three,Stephen King,Intermediate,4.23,139052,nonfiction,2539.24,1523.544,1.99,82,HarperCollins Publishers,1276
82,The Forgotten Garden,Kate Morton,Intermediate,4.12,138377,fiction,4907.7,0.0,3.99,85,"Amazon Digital Services,  Inc.",1230
83,Der ProzeÃŸ,"Franz Kafka, Edwin Muir, Willa Muir, Max Brod",Intermediate,3.98,131856,fiction,1202.85,0.0,0.99,86,"Amazon Digital Services,  Inc.",1215
84,This Lullaby,Sarah Dessen,Intermediate,4.03,151829,fiction,2417.85,1450.71,1.99,86,HarperCollins Publishers,1215
85,Plain Truth,Jodi Picoult,Intermediate,3.97,128406,fiction,1188.0,0.0,0.99,87,"Amazon Digital Services,  Inc.",1200
86,Orange Is the New Black: My Year in a Women's Prison,Piper Kerman,Intermediate,3.7,127186,fiction,2388.0,0.0,1.99,87,"Amazon Digital Services,  Inc.",1200
87,The Hound of the Baskervilles,"Arthur Conan Doyle, Anne Perry",Intermediate,4.09,154517,fiction,2356.16,1413.696,1.99,88,Macmillan,1184
88,"Thinking, Fast and Slow",Daniel Kahneman,Intermediate,4.08,136950,fiction,1157.31,694.386,0.99,89,"Amazon Digital Services,  Inc.",1169
89,The Mists of Avalon,Marion Zimmer Bradley,Intermediate,4.12,157736,fiction,1157.31,694.386,0.99,89,"Amazon Digital Services,  Inc.",1169
90,"Are You There God? It's Me, Margaret",Judy Blume,Intermediate,3.89,151789,fiction,1111.77,0.0,0.99,92,"Amazon Digital Services,  Inc.",1123
91,Nights in Rodanthe,Nicholas Sparks,Intermediate,3.82,129807,fiction,5603.77,3362.262,4.99,92,"Amazon Digital Services,  Inc.",1123
92,Mr. Mercedes,Stephen King,Intermediate,3.92,125847,fiction,2202.93,1321.758,1.99,93,Macmillan,1107
93,All Together Dead,Charlaine Harris,Intermediate,4.05,162689,fiction,6983.24,4189.944,6.49,95,Random House LLC,1076
94,Midwives,Chris Bohjalian,Intermediate,3.97,133155,fiction,6885.89,4131.534,6.49,96,Random House LLC,1061
95,The Polar Express,Chris Van Allsburg,Intermediate,4.29,168001,nonfiction,1035.54,621.324,0.99,97,"Amazon Digital Services,  Inc.",1046
96,The True Story of the Three Little Pigs,"Jon Scieszka, Lane Smith",Intermediate,4.29,141945,fiction,1019.7,0.0,0.99,98,"Amazon Digital Services,  Inc.",1030
97,Patriot Games,Tom Clancy,Intermediate,4.11,141674,fiction,6079.85,0.0,5.99,99,"Amazon Digital Services,  Inc.",1015
98,Veronika decide morrer,"Paulo Coelho, Margaret Jull Costa",Intermediate,3.69,111856,fiction,6932.45,4159.47,6.83,99,Penguin Group (USA) LLC,1015
99,"Lean In: Women, Work, and the Will to Lead","Sheryl Sandberg, Nell Scovell",Intermediate,3.94,135635,fiction,985.05,0.0,0.99,101,"Amazon Digital Services,  Inc.",995
100,Dead as a Doornail ,Charlaine Harris,Intermediate,4.01,169560,fiction,5068.8,3041.28,5.12,102,Penguin Group (USA) LLC,990
101,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,Intermediate,4.01,176433,fiction,2195.2,1317.12,2.24,104,"Amazon Digital Services,  Inc.",980
102,Starship Troopers,Robert A. Heinlein,Intermediate,3.99,136886,fiction,7312.5,4387.5,7.5,105,Hachette Book Group,975
103,I've Got Your Number,Sophie Kinsella,Intermediate,3.93,144533,fiction,960.3,0.0,0.99,106,"Amazon Digital Services,  Inc.",970
104,Sofies Verden,"Jostein Gaarder, Paulette MÃ¸ller",Intermediate,3.88,109692,fiction,10224.0,6134.4,10.65,108,Penguin Group (USA) LLC,960
106,The Martian Chronicles,Ray Bradbury,Intermediate,4.12,143236,fiction,1880.55,0.0,1.99,111,"Amazon Digital Services,  Inc.",945
107,A Visit From the Goon Squad,Jennifer Egan,Intermediate,3.64,120126,fiction,4690.6,2814.36,4.99,112,Macmillan,940
108,Heidi,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",Intermediate,3.97,144497,fiction,3730.65,2238.39,3.99,113,Penguin Group (USA) LLC,935
110,The Last Battle,C.S. Lewis,Intermediate,4.02,158701,fiction,5980.0,3588.0,6.5,116,"Amazon Digital Services,  Inc.",920
111,World Without End,Ken Follett,Intermediate,4.23,128715,fiction,905.85,543.51,0.99,117,Random House LLC,915
112,Chosen: A House of Night Novel,"P.C. Cast, Kristin Cast",Intermediate,3.9,180961,fiction,7759.2,4655.52,8.48,117,"Amazon Digital Services,  Inc.",915
113,Slammed,Colleen Hoover,Intermediate,4.29,153882,fiction,900.9,0.0,0.99,118,"Amazon Digital Services,  Inc.",910
114,"Beastly (Beastly, #1, Kendra Chronicles, #1)",Alex Flinn,Intermediate,3.84,150003,fiction,895.95,537.57,0.99,119,"Amazon Digital Services,  Inc.",905
115,Tales of Caunterbury,"Geoffrey Chaucer, Nevill Coghill",Novice,3.48,148480,fiction,891.0,0.0,0.99,120,"Amazon Digital Services,  Inc.",900
116,Baby Proof,Emily Giffin,Intermediate,3.71,124371,nonfiction,5841.0,3504.6,6.49,120,Macmillan,900
117,Inheritance,Christopher Paolini,Intermediate,4.08,146905,nonfiction,10731.05,6438.63,11.99,121,Random House LLC,895
118,ã„ã¡ãã‚…ã†ã¯ã¡ã‚ˆã‚“ [Ichi-KyÅ«-Hachi-Yon],"Haruki Murakami, Jay Rubin, Philip Gabriel",Intermediate,3.89,125195,fiction,2661.1,0.0,2.99,122,"Amazon Digital Services,  Inc.",890
119,Uncle Tom's Cabin or Life Among the Lowly,Harriet Beecher Stowe,Intermediate,3.83,137858,fiction,1771.1,1062.66,1.99,122,HarperCollins Publishers,890
120,Le FantÃ´me de l'OpÃ©ra,"Gaston Leroux, Alexander Teixeira de Mattos",Intermediate,3.97,141110,fiction,3531.15,0.0,3.99,123,"Amazon Digital Services,  Inc.",885
121,"Definitely Dead (Sookie Stackhouse, #6)",Charlaine Harris,Intermediate,4.02,163054,fiction,6525.0,3915.0,7.5,126,Simon and Schuster Digital Sales Inc,870
122,Ensaio Sobre a Cegueira,"JosÃ© Saramago, Giovanni Pontiero",Intermediate,4.08,98738,fiction,3451.35,0.0,3.99,127,"Amazon Digital Services,  Inc.",865
123,Freedom,Jonathan Franzen,Intermediate,3.73,119213,fiction,6871.4,4122.84,7.99,128,Random House LLC,860
124,Crossed,Ally Condie,Intermediate,3.52,100886,fiction,841.5,504.9,0.99,130,"Amazon Digital Services,  Inc.",850
125,"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,Intermediate,3.82,150222,fiction,10131.55,6078.93,11.99,131,Hachette Book Group,845
126,The White Tiger,Aravind Adiga,Intermediate,3.71,114531,fiction,6711.6,4026.96,7.99,132,Random House LLC,840
127,The Corrections,Jonathan Franzen,Intermediate,3.78,117657,fiction,816.75,0.0,0.99,135,"Amazon Digital Services,  Inc.",825
128,Dreams from My Father,Barack Obama,Intermediate,3.81,128961,nonfiction,1641.75,985.05,1.99,135,HarperCollins Publishers,825
129,Congo,Michael Crichton,Intermediate,3.55,129811,nonfiction,5696.85,3418.11,6.99,137,Random House LLC,815
130,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Judith Viorst, Ray Cruz",Intermediate,4.22,146073,fiction,2421.9,0.0,2.99,138,"Amazon Digital Services,  Inc.",810
131,Interpreter of Maladies,Jhumpa Lahiri,Intermediate,4.12,110651,fiction,8573.25,5143.95,10.65,139,Penguin Group (USA) LLC,805
132,A People's History of the United States: 1492 to Present ,Howard Zinn,Intermediate,4.07,137372,fiction,3192.0,0.0,3.99,140,"Amazon Digital Services,  Inc.",800
133,Breakfast at Tiffany's,Truman Capote,Intermediate,3.89,129778,fiction,792.0,475.2,0.99,140,"Amazon Digital Services,  Inc.",800
134,The Passage,Justin Cronin,Intermediate,4.04,126993,fiction,3172.05,0.0,3.99,141,"Amazon Digital Services,  Inc.",795
135,Anansi Boys,Neil Gaiman,Intermediate,4.0,137639,nonfiction,1572.1,943.26,1.99,142,"Amazon Digital Services,  Inc.",790
136,Along for the Ride,Sarah Dessen,Intermediate,4.08,151721,fiction,9412.15,5647.29,11.99,143,Penguin Group (USA) LLC,785
137,Everything I Never Told You,Celeste Ng,Intermediate,3.78,108703,fiction,3112.2,0.0,3.99,144,"Amazon Digital Services,  Inc.",780
138,La casa de los espÃ­ritus,"Isabel Allende, Magda Bogin",Intermediate,4.2,119930,fiction,8269.25,4961.55,10.67,145,Simon and Schuster Digital Sales Inc,775
139,The Dead Zone,Stephen King,Intermediate,3.9,132723,fiction,1512.4,907.44,1.99,148,HarperCollins Publishers,760
140,The Mysterious Affair at Styles,"Agatha Christie, Î¡Î¿Î¶Î¯Ï„Î± Î£ÏŽÎºÎ¿Ï…",Intermediate,3.98,135514,fiction,3012.45,0.0,3.99,149,"Amazon Digital Services,  Inc.",755
141,Murder in the Calais Coach,Agatha Christie,Intermediate,4.16,138444,fiction,3742.5,0.0,4.99,150,"Amazon Digital Services,  Inc.",750
142,Americanah,Chimamanda Ngozi Adichie,Intermediate,4.26,113252,fiction,2992.5,0.0,3.99,150,"Amazon Digital Services,  Inc.",750
143,Suzanne's Diary for Nicholas,James Patterson,Intermediate,4.16,121398,fiction,3717.55,2230.53,4.99,151,Random House LLC,745
